article_id,demographic_count,relational_count,cultural_count,doi,jstor_url,publicationYear,article_name,primary_subject,journal_title,creator,file_name,wordCount,pageCount
journal-article-10.1525_si.1982.5.1.1,3,14,57,10.1525_si.1982.5.1.1,https://www.jstor.org/stable/10.1525/si.1982.5.1.1,1982.0,The Staging of Emotion: A Dramaturgical Analysis,Sociology,Symbolic Interaction,Louis A. Zurcher,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.1.1.txt,11765.0,22.0
journal-article-10.1525_si.1982.5.1.111,1,10,170,10.1525_si.1982.5.1.111,https://www.jstor.org/stable/10.1525/si.1982.5.1.111,1982.0,On the ‘Symbolic’ in Symbolic Interaction,Sociology,Symbolic Interaction,Fred Davis,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.1.111.txt,8502.0,16.0
journal-article-10.1525_si.1982.5.1.127,0,1,68,10.1525_si.1982.5.1.127,https://www.jstor.org/stable/10.1525/si.1982.5.1.127,1982.0,Ethnomethodology and Symbolic Interactionism: A Critical Comparison of Temporal Orientations,Sociology,Symbolic Interaction,Monica J. Hardesty,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.1.127.txt,5116.0,12.0
journal-article-10.1525_si.1982.5.1.141,0,3,36,10.1525_si.1982.5.1.141,https://www.jstor.org/stable/10.1525/si.1982.5.1.141,1982.0,"A Tough-Minded Interactionism: Structuralism and Theoretical Breadth; Deductivism, Fictionalism, and Methodological Narrowness",Sociology,Symbolic Interaction,Leon H. Warshay,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.1.141.txt,2844.0,8.0
journal-article-10.1525_si.1982.5.1.149,1,18,27,10.1525_si.1982.5.1.149,https://www.jstor.org/stable/10.1525/si.1982.5.1.149,1982.0,Versions of SI,Sociology,Symbolic Interaction,Deena Weinstein,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.1.149.txt,3995.0,8.0
journal-article-10.1525_si.1982.5.1.157,3,4,17,10.1525_si.1982.5.1.157,https://www.jstor.org/stable/10.1525/si.1982.5.1.157,1982.0,Dr. Stryker's Fabulous Booke Where a Beaste with One Wynge Taketh a Predictable Cours,Sociology,Symbolic Interaction,Michael A. Overington; Iain L. Mangham,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.1.157.txt,4873.0,10.0
journal-article-10.1525_si.1982.5.1.167,1,7,40,10.1525_si.1982.5.1.167,https://www.jstor.org/stable/10.1525/si.1982.5.1.167,1982.0,Symbolic Interactionism: To What End?,Sociology,Symbolic Interaction,Sheldon Stryker,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.1.167.txt,3039.0,6.0
journal-article-10.1525_si.1982.5.1.23,35,8,64,10.1525_si.1982.5.1.23,https://www.jstor.org/stable/10.1525/si.1982.5.1.23,1982.0,The Impact of Investigator Perceptions of Victim Legitimacy on the Processing of Rape/Sexual Assault Cases,Sociology,Symbolic Interaction,Vicki McNickle Rose; Susan Carol Randall,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.1.23.txt,7594.0,14.0
journal-article-10.1525_si.1982.5.1.37,0,18,17,10.1525_si.1982.5.1.37,https://www.jstor.org/stable/10.1525/si.1982.5.1.37,1982.0,The Everyday Life of Art: Variation in the Valuation of Art Works in a Community Art Museum,Sociology,Symbolic Interaction,Catherine Valentine,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.1.37.txt,5257.0,12.0
journal-article-10.1525_si.1982.5.1.49,7,13,27,10.1525_si.1982.5.1.49,https://www.jstor.org/stable/10.1525/si.1982.5.1.49,1982.0,Accounts as Assembled from Breaching Experiments,Sociology,Symbolic Interaction,Stanford W. Gregory Jr.,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.1.49.txt,8367.0,16.0
journal-article-10.1525_si.1982.5.1.65,56,23,39,10.1525_si.1982.5.1.65,https://www.jstor.org/stable/10.1525/si.1982.5.1.65,1982.0,Toward a Sociology of Space: The Constrained Choice Model,Sociology,Symbolic Interaction,Mark LaGory,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.1.65.txt,6592.0,14.0
journal-article-10.1525_si.1982.5.1.79,4,10,135,10.1525_si.1982.5.1.79,https://www.jstor.org/stable/10.1525/si.1982.5.1.79,1982.0,Jürgen Habermas and the Rationalization of Communicative Interaction,Sociology,Symbolic Interaction,David Ashley,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.1.79.txt,8760.0,18.0
journal-article-10.1525_si.1982.5.1.97,1,14,20,10.1525_si.1982.5.1.97,https://www.jstor.org/stable/10.1525/si.1982.5.1.97,1982.0,Personal Information and Social Life,Sociology,Symbolic Interaction,Eviatar Zerubavel,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.1.97.txt,6169.0,14.0
journal-article-10.1525_si.1982.5.2.173,1,18,24,10.1525_si.1982.5.2.173,https://www.jstor.org/stable/10.1525/si.1982.5.2.173,1982.0,The Theatrical Perspective in Organizational Analysis,Sociology,Symbolic Interaction,Michael A. Overington; Iain L. Mangham,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.2.173.txt,7550.0,13.0
journal-article-10.1525_si.1982.5.2.187,4,18,128,10.1525_si.1982.5.2.187,https://www.jstor.org/stable/10.1525/si.1982.5.2.187,1982.0,Taking on the Role of Doctor: A Dramaturgical Analysis of Professionalization,Sociology,Symbolic Interaction,Jack Haas; William Shaffir,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.2.187.txt,9276.0,17.0
journal-article-10.1525_si.1982.5.2.205,9,21,52,10.1525_si.1982.5.2.205,https://www.jstor.org/stable/10.1525/si.1982.5.2.205,1982.0,Performance and Rehearsal: Social Order and Organizational Life,Sociology,Symbolic Interaction,Iain L. Mangham; Michael A. Overington,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.2.205.txt,9744.0,18.0
journal-article-10.1525_si.1982.5.2.223,2,22,50,10.1525_si.1982.5.2.223,https://www.jstor.org/stable/10.1525/si.1982.5.2.223,1982.0,Producing Drama: Symbolic Communication and the Police,Sociology,Symbolic Interaction,Peter K. Manning,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.2.223.txt,9491.0,20.0
journal-article-10.1525_si.1982.5.2.243,3,19,87,10.1525_si.1982.5.2.243,https://www.jstor.org/stable/10.1525/si.1982.5.2.243,1982.0,The Presentation of Self and the New Institutional Inmate: An Analysis of Prisoners' Responses to Assessment for Release,Sociology,Symbolic Interaction,Catherine M. Watson,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.2.243.txt,8500.0,16.0
journal-article-10.1525_si.1982.5.2.259,1,9,65,10.1525_si.1982.5.2.259,https://www.jstor.org/stable/10.1525/si.1982.5.2.259,1982.0,"Dramas, Metaphors, and Structures",Sociology,Symbolic Interaction,R.S. Perinbanayagam,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.2.259.txt,9723.0,18.0
journal-article-10.1525_si.1982.5.2.277,0,2,69,10.1525_si.1982.5.2.277,https://www.jstor.org/stable/10.1525/si.1982.5.2.277,1982.0,Ritual Power in Interaction,Sociology,Symbolic Interaction,Andrew Travers,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.2.277.txt,5896.0,10.0
journal-article-10.1525_si.1982.5.2.287,1,0,8,10.1525_si.1982.5.2.287,https://www.jstor.org/stable/10.1525/si.1982.5.2.287,1982.0,The Dramaturgical Model of Behavior: Its Strengths and Weaknesses,Sociology,Symbolic Interaction,Bruce Wilshire,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.2.287.txt,6741.0,12.0
journal-article-10.1525_si.1982.5.2.299,1,4,27,10.1525_si.1982.5.2.299,https://www.jstor.org/stable/10.1525/si.1982.5.2.299,1982.0,Telephone Troubles: Interactional Breakdown and its Management by Stutterers and Their Listeners,Sociology,Symbolic Interaction,Michael Petrunik,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.2.299.txt,6412.0,12.0
journal-article-10.1525_si.1982.5.2.311,1,15,63,10.1525_si.1982.5.2.311,https://www.jstor.org/stable/10.1525/si.1982.5.2.311,1982.0,Killum and Eatum: Identity Consolidation in a Middle-Class Poly-Drug Abuse Sub-Culture,Sociology,Symbolic Interaction,Barry A. Kinsey,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.2.311.txt,6776.0,14.0
journal-article-10.1525_si.1982.5.2.325,7,25,47,10.1525_si.1982.5.2.325,https://www.jstor.org/stable/10.1525/si.1982.5.2.325,1982.0,Marginal Man: The Identity Dilemma of the Academic General Practitioner,Sociology,Symbolic Interaction,Margaret Reid,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.2.325.txt,8453.0,16.0
journal-article-10.1525_si.1982.5.2.343,3,7,24,10.1525_si.1982.5.2.343,https://www.jstor.org/stable/10.1525/si.1982.5.2.343,1982.0,Children's Perceptions of Mental Illness: A Partial Test of Scheff's Hypothesis,Sociology,Symbolic Interaction,Donald Baker; John Bedell; Lorraine Prinsky,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.2.343.txt,6584.0,13.0
journal-article-10.1525_si.1982.5.2.367,11,4,51,10.1525_si.1982.5.2.367,https://www.jstor.org/stable/10.1525/si.1982.5.2.367,1982.0,Subject Index,Sociology,Symbolic Interaction,,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1982.5.2.367.txt,2491.0,9.0
journal-article-10.1525_si.1983.6.1.1,0,16,160,10.1525_si.1983.6.1.1,https://www.jstor.org/stable/10.1525/si.1983.6.1.1,1983.0,Symbolic Interactionism vs. Ethnomethodology,Sociology,Symbolic Interaction,Mary J. Gallant; Sherryl Kleinman,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1983.6.1.1.txt,8532.0,18.0
journal-article-10.1525_si.1983.6.1.111,48,37,22,10.1525_si.1983.6.1.111,https://www.jstor.org/stable/10.1525/si.1983.6.1.111,1983.0,"Credits and Craft Production: Freelance Social Organization in the Hollywood Film Industry, 1964–1978",Sociology,Symbolic Interaction,Paul R. Weiss; Robert R. Faulkner,/vol_b/data/jstor_data/ocr/journal-article-10.1525_si.1983.6.1.111.txt,6135.0,13.0
