term,count,prop_max,perspective
rule_like_status,7,0.00586200832405182,cultural
later_adopters,36,0.030147471380837933,cultural
legitimates,228,0.19093398541197357,cultural
external_pressures,353,0.2956127054843275,cultural
decoupled,406,0.33999648279500555,cultural
institutionalize,409,0.3425087720767421,cultural
institutionalize,409,0.3425087720767421,cultural
mimicry,438,0.36679423513352816,cultural
institutionalizing,461,0.3860551196268413,cultural
widely_shared,462,0.3868925493874201,cultural
legitimization,487,0.4078282934018909,cultural
legitimized,504,0.42206459933173107,cultural
isomorphic,514,0.43043889693751936,cultural
rationalize,520,0.43546347550099235,cultural
loosely_coupled,531,0.4446752028673595,cultural
ceremonial,550,0.4605863683183573,cultural
regulative,557,0.4664483766424091,cultural
legitimizing,588,0.4924086992203529,cultural
ritualized,596,0.49910813730498355,cultural
belief_systems,665,0.5568907907849229,cultural
conforming,690,0.5778265347993937,cultural
rules_game,710,0.5945751300109703,cultural
legitimize,716,0.5995997085744433,cultural
organizational_field,772,0.6464957751668579,cultural
iron_cage,774,0.6481706346880155,cultural
legitimating,785,0.6573823620543827,cultural
mimetic,836,0.7000912798439031,cultural
legitimated,882,0.7386130488305294,cultural
rationalized,922,0.7721102392536826,cultural
diffused,1002,0.8391046200999891,cultural
institutionally,1006,0.8424543391423044,cultural
organizational_fields,1012,0.8474789177057774,cultural
professionalization,1012,0.8474789177057774,cultural
decoupling,1081,0.9052615711857168,cultural
imperatives,1148,0.9613693651444986,cultural
illegitimate,1170,0.9797928198772328,cultural
imitate,1305,1.0928458375553751,cultural
socially_constructed,1507,1.262006649192299,cultural
rationalization,1680,1.406881997772437,cultural
internalized,1923,1.6103774295930928,cultural
coercion,2096,1.7552527781732308,cultural
diffuse,2348,1.9662850778390963,cultural
coercive,2403,2.0123437146709318,cultural
taken_granted,2600,2.177317377504962,cultural
conform,2678,2.2426368988301104,cultural
imperative,2795,2.340616180817834,cultural
institutionalization,3045,2.549973620962542,cultural
conformity,3399,2.846423756207448,cultural
prevailing,3548,2.971200790533694,cultural
imitation,3837,3.213217991340976,cultural
rituals,4212,3.5272541515580382,cultural
conceptions,4948,4.143602455344058,cultural
ideologies,5086,4.259167762303937,cultural
understandings,5434,4.55059331898537,cultural
symbols,5466,4.577391071323893,cultural
institutionalized,5515,4.618425129592255,cultural
ritual,5684,4.759950759130078,cultural
profession,6256,5.23896058218117,cultural
conception,7464,6.250575732960398,cultural
norm,7501,6.281560634101814,cultural
legitimate,8006,6.704462663194125,cultural
legitimate,8006,6.704462663194125,cultural
ideological,9569,8.013365378978838,cultural
diffusion,10950,9.169855878338204,cultural
normative,15200,12.728932360798238,cultural
logic,16403,13.736360362774573,cultural
legitimacy,16457,13.781581569845828,cultural
legitimacy,16457,13.781581569845828,cultural
symbolic,21503,18.007252141726614,cultural
norms,27252,22.821635835294316,cultural
professional,31893,26.70814735414067,cultural
innovation,34877,29.207037759707905,cultural
institutional,55312,46.31991491713632,cultural
cultural,119413,100.0,cultural
liability_smallness,21,0.01758602497215546,demographic
liability_adolescence,30,0.025122892817364944,demographic
resetting_clock,36,0.030147471380837933,demographic
size_localized,36,0.030147471380837933,demographic
competency_trap,50,0.04187148802894157,demographic
liabilities_newness,55,0.04605863683183573,demographic
localized_competition,62,0.05192064515588755,demographic
senescence,63,0.052758074916466384,demographic
expansion_contraction,74,0.061969802282833525,demographic
specialism,82,0.06866924036746418,demographic
red_queen,128,0.10719100935409043,demographic
liability_newness,170,0.14236305929840135,demographic
competitive_pressure,256,0.21438201870818085,demographic
death_rate,269,0.22526860559570566,demographic
resistance_change,293,0.2453669198495976,demographic
resource_partitioning,312,0.26127808530059543,demographic
inertial,321,0.2688149531458049,demographic
ecologists,344,0.28807583763911804,demographic
carrying_capacity,368,0.30817415189300995,demographic
death_rates,385,0.3224104578228501,demographic
competitive_pressures,397,0.3324596149497961,demographic
obsolescence,435,0.3642819458517917,demographic
competitive_intensity,436,0.3651193756123705,demographic
generalists,444,0.37181881369700115,demographic
densities,529,0.44300034334620186,demographic
imprinting,538,0.4505372111914113,demographic
generalist,591,0.4949209885020894,demographic
