term,count,prop_max,perspective
institutionalizes,44,0.0606102348646601,cultural
decoupled,55,0.07576279358082512,cultural
mimetic,105,0.14463806047248434,cultural
organizational_field,110,0.15152558716165024,cultural
infused,185,0.25483848749913907,cultural
legitimates,209,0.2878986156071355,cultural
legitimizing,217,0.29891865830980097,cultural
institutionalizing,222,0.3058061849989669,cultural
isomorphic,254,0.34988635580962874,cultural
rules_procedures,262,0.3609063985122942,cultural
legitimized,286,0.39396652662029064,cultural
institutionalize,308,0.4242716440526207,cultural
internalize,308,0.4242716440526207,cultural
loosely_coupled,313,0.4311591707417866,cultural
rules_game,344,0.4738618362146153,cultural
imitate,348,0.4793718575659481,cultural
legitimize,395,0.5441146084441078,cultural
institutionally,447,0.6157448860114333,cultural
socially_constructed,448,0.6171223913492665,cultural
rationalize,451,0.621254907362766,cultural
routinized,464,0.6391624767545975,cultural
legitimating,620,0.8540533094565741,cultural
ceremonial,622,0.8568083201322405,cultural
symbolically,622,0.8568083201322405,cultural
legitimated,692,0.9532336937805634,cultural
constructions,740,1.0193539499965563,cultural
rationalized,840,1.1571044837798747,cultural
authoritative,854,1.1763895585095392,cultural
imitation,864,1.190164611887871,cultural
internalization,894,1.2314897720228666,cultural
imperatives,918,1.264549900130863,cultural
internalized,972,1.338935188373855,cultural
professionalization,1035,1.4257180246573455,cultural
understandings,1246,1.7163716509401474,cultural
taken_granted,1250,1.72188167229148,cultural
diffuse,1555,2.1420208003306014,cultural
institutionalization,1667,2.296301398167918,cultural
coercion,1723,2.373441697086576,cultural
coercive,1780,2.4519595013430675,cultural
conform,1823,2.5111922308698946,cultural
rituals,2222,3.060816860665335,cultural
rationalization,2497,3.439630828569461,cultural
conformity,2777,3.825332323162752,cultural
institutionalized,2828,3.895585095392245,cultural
prevailing,2838,3.9093601487705767,cultural
ideologies,3113,4.2881741166747025,cultural
conceptions,3449,4.751015910186652,cultural
diffusion,3543,4.880501411942971,cultural
norm,3751,5.167022522212274,cultural
symbols,3837,5.285487981265927,cultural
profession,4441,6.11750120531717,cultural
ritual,4624,6.369584682140643,cultural
legitimate,4846,6.67539086713961,cultural
legitimate,4846,6.67539086713961,cultural
legitimacy,5120,7.052827329705902,cultural
legitimacy,5120,7.052827329705902,cultural
societal,6497,8.949652179902197,cultural
conception,7526,10.367105172532543,cultural
institution,7589,10.453888008816033,cultural
rationality,8014,11.039327777395137,cultural
logic,8185,11.274881190164612,cultural
normative,9370,12.907225015496936,cultural
ideological,9575,13.189613609752739,cultural
innovation,11733,16.16227012879675,cultural
symbolic,12641,17.41304497554928,cultural
rational,12943,17.829051587574902,cultural
norms,13197,18.17893794338453,cultural
ideology,14790,20.37330394655279,cultural
institutional,15284,21.053791583442386,cultural
institutions,19904,27.417866244231696,cultural
professional,19975,27.51566912321785,cultural
cultural,38643,53.230938769887736,cultural
buffering_shields,0,0.0,demographic
competitive_exclusion,7,0.009642537364832289,demographic
highly_reproducible,9,0.012397548040498656,demographic
peripheral_features,10,0.01377505337833184,demographic
size_localized,18,0.024795096080997312,demographic
liability_smallness,24,0.03306012810799642,demographic
liabilities_newness,35,0.048212686824161445,demographic
coarse_grained,45,0.061987740202493286,demographic
carrying_capacities,49,0.06749776155382602,demographic
resource_partitioning,50,0.06887526689165921,demographic
localized_competition,88,0.1212204697293202,demographic
specialism,88,0.1212204697293202,demographic
inertial,124,0.17081066189131483,demographic
competitive_pressures,186,0.2562159928369722,demographic
disbanding,219,0.3016736689854673,demographic
obsolescence,228,0.31407121702596597,demographic
resistance_change,242,0.33335629175563053,demographic
generalist,242,0.33335629175563053,demographic
carrying_capacity,262,0.3609063985122942,demographic
failure_rates,266,0.366416419863627,demographic
extinction,274,0.37743646256629243,demographic
generalists,286,0.39396652662029064,demographic
liability_newness,291,0.40085405330945656,demographic
failure_rate,339,0.46697430952544944,demographic
ecologists,358,0.4931469109442799,demographic
organizational_form,527,0.7259453130380881,demographic
fitness,589,0.8113506439837455,demographic
death_rate,596,0.8209931813485777,demographic
organizational_forms,693,0.9546111991183965,demographic
niches,701,0.9656312418210621,demographic
death_rates,719,0.9904263379020594,demographic
inertia,1008,1.3885253805358495,demographic
organizational_change,1029,1.4174529926303465,demographic
specialist,1172,1.6144362559404917,demographic
accountability,1176,1.6199462772918245,demographic
niche,1486,2.0469729320201115,demographic
species,2090,2.8789861560713548,demographic
adaptive,2140,2.947861422963014,demographic
survive,2218,3.055306839314002,demographic
specialists,2378,3.2757076933673117,demographic
founding,2579,3.5525862662717818,demographic
succession,2643,3.6407466078931057,demographic
evolutionary,2863,3.943797782216406,demographic
specialization,2864,3.9451752875542394,demographic
ecology,3508,4.83228872511881,demographic
adaptation,4374,6.025208347682347,demographic
ecological,4691,6.461877539775466,demographic
survival,5836,8.039121151594463,demographic
evolution,6825,9.401473930711482,demographic
density,7013,9.66044493422412,demographic
populations,7061,9.726565190440112,demographic
mortality,8365,11.522832150974585,demographic
selection,13736,18.921413320476617,demographic
population,53547,73.76127832495351,demographic
inter_organizational_network,4,0.005510021351332737,relational
inter_organizational_networks,10,0.01377505337833184,relational
reconstitute_tie,11,0.015152558716165025,relational
directorship_ties,13,0.017907569391831392,relational
directorate_ties,31,0.04270266547282871,relational
interorganizational_network,58,0.07989530959432468,relational
interorganizational_networks,64,0.08816034162132379,relational
interlocked,166,0.22866588608030855,relational
vertically_integrated,280,0.38570149459329156,relational
boards_directors,367,0.5055444589847785,relational
resource_dependence,392,0.5399820924306081,relational
merge,418,0.575797231214271,relational
diversify,434,0.5978373166196019,relational
directorates,493,0.6791101315517598,relational
interlock,595,0.8196156760107446,relational
dependencies,629,0.8664508574970728,relational
merged,757,1.0427715407397204,relational
board_directors,783,1.0785866795233832,relational
conglomerate,935,1.287967490874027,relational
cooperate,1014,1.3967904125628487,relational
buffer,1081,1.489083270197672,relational
interlocking,1086,1.4959707968868379,relational
interdependent,1120,1.5428059783731662,relational
constrain,1182,1.6282113093188235,relational
interlocks,1233,1.698464081548316,relational
joint_venture,1374,1.892692334182795,relational
alliances,1397,1.9243749569529582,relational
decentralized,1503,2.0703905227632755,relational
coalitions,1541,2.1227357256009367,relational
horizontal,1640,2.259108754046422,relational
governance,1916,2.6393002272883805,relational
joint_ventures,1959,2.6985329568152077,relational
diversified,2164,2.9809215510710105,relational
interdependence,2419,3.332185412218472,relational
centralization,2470,3.4024381844479645,relational
alliance,2504,3.449273365934293,relational
exchanges,2586,3.562228803636614,relational
mergers,2675,3.6848267787037674,relational
merger,2777,3.825332323162752,relational
centralized,2826,3.892830084716578,relational
connections,2941,4.051243198567394,relational
coalition,3195,4.4011295543770235,relational
linkages,3676,5.063709621874785,relational
vertical,4135,5.695984571940216,relational
constraint,4352,5.994903230250017,relational
autonomous,4522,6.2290791376816586,relational
links,4529,6.238721675046491,relational
directors,4586,6.317239479302982,relational
cooperative,5149,7.092774984503065,relational
dominance,5313,7.318685859907707,relational
diversification,5744,7.912390660513809,relational
cooperation,6201,8.541910599903575,relational
dependency,6430,8.857359322267374,relational
link,7593,10.459398030167367,relational
dependence,8474,11.672980232798402,relational
autonomy,10766,14.83022246711206,relational
external,15426,21.2493973414147,relational
exchange,18955,26.110613678628006,relational
dependent,23860,32.867277360699774,relational
independent,28323,39.01508368344928,relational
influence,40707,56.07410978717542,relational
control,72595,100.0,relational
